quote,author,category,escola
"My 'fear' is my substance, and probably the best part of me.",Franz Kafka,"Best, Me, Substance ",Existencialismo (influência) / Absurdo
"The generality of men are naturally apt to be swayed by fear rather than reverence, and to refrain from evil rather because of the punishment that it brings than because of its own foulness.",Aristotle,"Men, Evil, Punishment ",Peripatético / Aristotelismo
"Injustice is censured because the censures are afraid of suffering, and not from any fear which they have of doing injustice.",Plato,"Suffering, Injustice, Doing ",Platonismo
The cautious seldom err.,Confucius,"Cautious, Err, Seldom ",Confucionismo
"He who is prudent and lies in wait for an enemy who is not, will be victorious.",Sun Tzu,"Enemy, Wait, Will ",Filosofia Militar Chinesa
Be the chief but never the lord.,Lao Tzu,"Never, Lord, Chief ",Taoismo
"If you want a quality, act as if you already had it.",William James,"Quality, Want, You ",Pragmatismo
"If you care enough for a result, you will most certainly attain it.",William James,"Care, You, Will ",Pragmatismo
They certainly give very strange names to diseases.,Plato,"Strange, Names, Give ",Platonismo
"Three things cannot be long hidden: the sun, the moon, and the truth.",Buddha,"Sun, Moon, Long ",Budismo
"There are only two mistakes one can make along the road to truth; not going all the way, and not starting.",Buddha,"Mistakes, Road, Way ",Budismo
"On the mountains of truth you can never climb in vain: either you will reach a point higher up today, or you will be training your powers so that you will be able to climb higher tomorrow.",Friedrich Nietzsche,"Today, Mountains, Training ",Niilismo / Existencialismo (precursor)
"That which is false troubles the heart, but truth brings joyous tranquillity.",Rumi,"Heart, False, Which ",Sufismo
The object of the superior man is truth.,Confucius,"Man, Superior, Superior Man ",Confucionismo
And we should consider every day lost on which we have not danced at least once. And we should call every truth false which was not accompanied by at least one laugh.,Friedrich Nietzsche,"Day, Lost, Laugh ",Niilismo / Existencialismo (precursor)
Language is the house of the truth of Being.,Martin Heidegger,"Language, House, Being ",Fenomenologia / Existencialismo
I was born into the world as the king of truth for the salvation of the world.,Buddha,"World, King, Born ",Budismo
The universe is transformation: life is opinion.,Marcus Aurelius,"Life, Universe, Opinion ",Estoicismo
"The foolish man conceives the idea of 'self.' The wise man sees there is no ground on which to build the idea of 'self;' thus, he has a right conception of the world and well concludes that all compounds amassed by sorrow will be dissolved again, but the truth will remain.",Buddha,"Wise, Man, World ",Budismo
How can sincerity be a condition of friendship? A taste for truth at any cost is a passion which spares nothing.,Albert Camus,"Friendship, Passion ",Existencialismo / Absurdismo
"In a controversy the instant we feel anger we have already ceased striving for the truth, and have begun striving for ourselves.",Buddha,"Anger, Striving, Feel ",Budismo
"Truth, like light, blinds. Falsehood, on the contrary, is a beautiful twilight that enhances every object.",Albert Camus,"Beautiful, Light, Like ",Existencialismo / Absurdismo
"Speak the truth, do not yield to anger; give, if thou art asked for little; by these three steps thou wilt go near the gods.",Confucius,"Art, Anger, Speak ",Confucionismo
"There are only two things. Truth and lies. Truth is indivisible, hence it cannot recognize itself; anyone who wants to recognize it has to be a lie.",Franz Kafka,"Lie, Truth Is, Two ",Existencialismo (influência) / Absurdo
"Belief is a wise wager. Granted that faith cannot be proved, what harm will come to you if you gamble on its truth and it proves false? If you gain, you gain all; if you lose, you lose nothing. Wager, then, without hesitation, that He exists.",Blaise Pascal,"Faith, Wise, Belief ",Jansenismo / Existencialismo Cristão (precursor)
"When virtue is lost, benevolence appears, when benevolence is lost right conduct appears, when right conduct is lost, expedience appears. Expediency is the mere shadow of right and truth; it is the beginning of disorder.",Lao Tzu,"Shadow, Beginning, Lost ",Taoismo
"In the consciousness of the truth he has perceived, man now sees everywhere only the awfulness or the absurdity of existence and loathing seizes him.",Friedrich Nietzsche,"Man, Existence ",Niilismo / Existencialismo (precursor)
Mystical explanations are thought to be deep the truth is that they are not even shallow. ,Friedrich Nietzsche,"Deep, Thought, Truth Is ",Niilismo / Existencialismo (precursor)
"Plato is dear to me, but dearer still is truth.",Aristotle,"Me, Plato, Still ",Peripatético / Aristotelismo
Piety requires us to honor truth above our friends.,Aristotle,"Friends, Honor, Us ",Peripatético / Aristotelismo
"Nothing is beautiful, only man: on this piece of naivete rests all aesthetics, it is the first truth of aesthetics. Let us immediately add its second: nothing is ugly but degenerate man - the domain of aesthetic judgment is therewith defined.",Friedrich Nietzsche,"Beautiful, Man, Ugly ",Niilismo / Existencialismo (precursor)
I tore myself away from the safe comfort of certainties through my love for truth - and truth rewarded me.,Simone de Beauvoir,"Love, Myself, Me ",Existencialismo / Feminismo
We should consider every day lost on which we have not danced at least once. And we should call every truth false which was not accompanied by at least one laugh.,Friedrich Nietzsche,"Day, Lost, Laugh ",Niilismo / Existencialismo (precursor)
"Truth is beautiful, without doubt; but so are lies.",Ralph Waldo Emerson,"Beautiful, Doubt, Truth Is ",Transcendentalismo
The words of truth are always paradoxical.,Lao Tzu,"Words, Always, Paradoxical ",Taoismo
Words are but symbols for the relations of things to one another and to us nowhere do they touch upon absolute truth. ,Friedrich Nietzsche,"Words, Touch, Symbols ",Niilismo / Existencialismo (precursor)
Truth is simply a compliment paid to sentences seen to be paying their way.,Richard Rorty,"Truth Is, Compliment, Way ",Neopragmatismo
"Truth is mysterious, elusive, always to be conquered. Liberty is dangerous, as hard to live with as it is elating. We must march toward these two goals, painfully but resolutely, certain in advance of our failings on so long a road.",Albert Camus,"Goals, Road, Liberty ",Existencialismo / Absurdismo
All truth is simple... is that not doubly a lie?,Friedrich Nietzsche,"Simple, Lie, Truth Is ",Niilismo / Existencialismo (precursor)
Every mind must make its choice between truth and repose. It cannot have both.,Ralph Waldo Emerson,"Mind, Choice, Between ",Transcendentalismo
"There are various eyes. Even the Sphinx has eyes: and as a result there are various truths, and as a result there is no truth.",Friedrich Nietzsche,"Eyes, Result, Even ",Niilismo / Existencialismo (precursor)
"Truth lives, in fact, for the most part on a credit system. Our thoughts and beliefs pass, so long as nothing challenges them, just as bank-notes pass so long as nobody refuses them.",William James,"Thoughts, Challenges, Long ",Pragmatismo
"Truth is the beginning of every good to the gods, and of every good to man.",Plato,"Good, Man, Beginning ",Platonismo
The least initial deviation from the truth is multiplied later a thousandfold.,Aristotle,"Truth Is, Later, Initial ",Peripatético / Aristotelismo
"One may sometimes tell a lie, but the grimace that accompanies it tells the truth.",Friedrich Nietzsche,"Lie, Sometimes, May ",Niilismo / Existencialismo (precursor)
"Defending the truth is not something one does out of a sense of duty or to allay guilt complexes, but is a reward in itself.",Simone de Beauvoir,"Reward, Guilt, Truth Is ",Existencialismo / Feminismo
"Not when truth is dirty, but when it is shallow, does the enlightened man dislike to wade into its waters.",Friedrich Nietzsche,"Man, Truth Is, Dirty ",Niilismo / Existencialismo (precursor)
"It is good to express a thing twice right at the outset and so to give it a right foot and also a left one. Truth can surely stand on one leg, but with two it will be able to walk and get around.",Friedrich Nietzsche,"Good, Walk, Stand ",Niilismo / Existencialismo (precursor)
Justice and truth are too such subtle points that our tools are too blunt to touch them accurately.,Blaise Pascal,"Justice, Tools, Touch ",Jansenismo / Existencialismo Cristão (precursor)
Truth is the property of no individual but is the treasure of all men.,Ralph Waldo Emerson,"Men, Truth Is, Treasure ",Transcendentalismo
"All credibility, all good conscience, all evidence of truth come only from the senses.",Friedrich Nietzsche,"Good, Conscience, Senses ",Niilismo / Existencialismo (precursor)
A taste for truth at any cost is a passion which spares nothing.,Albert Camus,"Passion, Nothing, Cost ",Existencialismo / Absurdismo
Truth is what works.,William James,"Truth Is, Works ",Pragmatismo
"Wisdom, compassion, and courage are the three universally recognized moral qualities of men.",Confucius,"Wisdom, Compassion, Men ",Confucionismo
From caring comes courage.,Lao Tzu,Caring ,Taoismo
You will never do anything in this world without courage. It is the greatest quality of the mind next to honor.,Aristotle,"Quality, World, Mind ",Peripatético / Aristotelismo
"He is a man of courage who does not run away, but remains at his post and fights against the enemy.",Socrates,"Man, Enemy, Run ",Filosofia Socrática
"Faced with what is right, to leave it undone shows a lack of courage.",Confucius,"Right, Leave, Lack ",Confucionismo
"It is courage, courage, courage, that raises the blood of life to crimson splendor. Live bravely and present a brave front to adversity.",Horace,"Life, Adversity, Brave ",Epicurismo (influência)
"Real nobility is based on scorn, courage, and profound indifference.",Albert Camus,"Real, Profound, Indifference ",Existencialismo / Absurdismo
Courage is a kind of salvation.,Plato,"Kind, Salvation ",Platonismo
"To see what is right and not to do it is want of courage, or of principle.",Confucius,"Want, Right, See ",Confucionismo
A great part of courage is the courage of having done the thing before.,Ralph Waldo Emerson,"Great, Done, Part ",Transcendentalismo
"Every man has his own courage, and is betrayed because he seeks in himself the courage of other persons.",Ralph Waldo Emerson,"Man, Himself, Every ",Transcendentalismo
Do the difficult things while they are easy and do the great things while they are small. A journey of a thousand miles must begin with a single step.,Lao Tzu,"Motivational, Journey, Small ",Taoismo
The greatest weapon against stress is our ability to choose one thought over another.,William James,"Stress, Thought, Greatest ",Pragmatismo
