quote,author,category,escola
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage",Niilismo / Existencialismo (precursor)
"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,"courage, deeply-loved, love, strength, widely-misattributed",Taoismo
"Every heart sings a song, incomplete, until another heart whispers back. Those who wish to sing always find a song. At the touch of a lover, everyone becomes a poet.",Plato,"love, poetry, song",Platonismo
There is always some madness in love. But there is also always some reason in madness.,Friedrich Nietzsche,"love, madness",Niilismo / Existencialismo (precursor)
The man of knowledge must be able not only to love his enemies but also to hate his friends.,Friedrich Nietzsche,"enemies, friends, friendship, hatred, intelligence, knowledge, love, wisdom",Niilismo / Existencialismo (precursor)
The heart has its reasons which reason knows not.,Blaise Pascal,"heart, love, quip, reason",Jansenismo / Existencialismo Cristão (precursor)
"One ought to hold on to one's heart; for if one lets it go, one soon loses control of the head too.",Friedrich Nietzsche,"emotions, heart, insanity, love, rationality, reason",Niilismo / Existencialismo (precursor)
"Amor Fati – “Love Your Fate”, which is in fact your life.",Friedrich Nietzsche,"fate, inspirational, life, love",Niilismo / Existencialismo (precursor)
"Ultimately, it is the desire, not the desired, that we love.",Friedrich Nietzsche,"desire, love",Niilismo / Existencialismo (precursor)
"In itself, homosexuality is as limiting as heterosexuality: the ideal should be to be capable of loving a woman or a man; either, a human being, without feeling fear, restraint, or obligation.",Simone de Beauvoir,"freedom-of-choice, heterosexuality, homosexuality, love",Existencialismo / Feminismo
"In love, one and one are one.",Jean-Paul Sartre,love,Existencialismo
"Nothing in life is worth,turning your back on,if you love it.",Albert Camus,"life, love",Existencialismo / Absurdismo
Love is a state in which a man sees things most decidedly as they are not.,Friedrich Nietzsche,love,Niilismo / Existencialismo (precursor)
"One's life has value so long as one attributes value to the life of others, by means of love, friendship, and compassion",Simone de Beauvoir,"friendship, love, philosophy, women",Existencialismo / Feminismo
Love is a drama of contradictions.,Franz Kafka,love,Existencialismo (influência) / Absurdo
"You're my Star, a stargazer too,and I wish that I were Heaven,with a billion eyes to look at you!",Plato,love,Platonismo
"Human relationships always help us to carry on because they always presuppose further developments, a future - and also because we live as if our only task was precisely to have relationships with other people.",Albert Camus,"future, love, relationships, society",Existencialismo / Absurdismo
"Love, and you shall be loved.",Ralph Waldo Emerson,love,Transcendentalismo
The spiritualization of sensuality is called love: it is a great triumph over Christianity.,Friedrich Nietzsche,"anti-christian, christianity, love, sensuality, spirituality",Niilismo / Existencialismo (precursor)
May I kiss you then? On this miserable paper? I might as well open the window and kiss the night air.,Franz Kafka,"kiss, letters, love, night",Existencialismo (influência) / Absurdo
"He who is in love is wise and is becoming wiser, sees newly every time he looks at the object beloved, drawing from it with his eyes and his mind those virtues which it possesses.",Ralph Waldo Emerson,love,Transcendentalismo
"What made me run away was doubtless not so much the fear of settling down, but of settling down permanently in something ugly.",Albert Camus,"life, love, romance",Existencialismo / Absurdismo
It is easy to hate and it is difficult to love. This is how the whole scheme of things works. All good things are difficult to achieve and bad things are very easy to get. ,Confucius,"hard, love",Confucionismo
"We join spokes together in a wheel, but it is the center hole that makes the wagon move.We shape clay into a pot, but it is the emptiness insidethat holds whatever we want.We hammer wood for a house, but it is the inner spacethat makes it livable.We work with being, but non-being is what we use.",Lao Tzu,"inspirational, love, philosophy, poetry",Taoismo
The Artist always has the masters in his eyes.,Ralph Waldo Emerson,"ambition, art, artist, eyes, love, master, work",Transcendentalismo
"It answers the question that was tormenting you: my love, you are not 'one thing in my life' - not even the most important - because my life no longer belongs to me because...you are always me.",Jean-Paul Sartre,"identity, love, personal-papers",Existencialismo
"Because of a great love, one is courageous.",Lao Tzu,love,Taoismo
"Do not go where the path may lead, go instead where there is no path and leave a trail.",Ralph Waldo Emerson,"inspirational, life",Transcendentalismo
Nobody realizes that some people expend tremendous energy merely to be normal.,Albert Camus,"humanity, life, mankind, mortality",Existencialismo / Absurdismo
Live to the point of tears.,Albert Camus,"life, living",Existencialismo / Absurdismo
He who has a why to live for can bear almost any how.,Friedrich Nietzsche,"how, life, purpose, questioning, questions, why",Niilismo / Existencialismo (precursor)
A good traveler has no fixed plans and is not intent on arriving.,Lao Tzu,"life, travel",Taoismo
It does not matter how slowly you go as long as you do not stop.,Confucius,"education, inspirational, life, perseverance",Confucionismo
"It is not the length of life, but the depth.",Ralph Waldo Emerson,life,Transcendentalismo
"I am awfully greedy; I want everything from life. I want to be a woman and to be a man, to have many friends and to have loneliness, to work much and write good books, to travel and enjoy myself, to be selfish and to be unselfish… You see, it is difficult to get all which I want. And then when I do not succeed I get mad with anger.",Simone de Beauvoir,"anger, books, friends, greedy, life, loneliness, man, myself, selfish, travel, woman, work, write",Existencialismo / Feminismo
"Life is not a problem to be solved, but a reality to be experienced.",Søren Kierkegaard,"life, reality",Existencialismo Cristão
"Man is condemned to be free; because once thrown into the world, he is responsible for everything he does. It is up to you to give [life] a meaning.",Jean-Paul Sartre,"freedom, life, personal-responsibility",Existencialismo
"No man ever steps in the same river twice, for it's not the same river and he's not the same man.",Heraclitus,"eternity, impermanence, journey, life, mujo",Pré-socrático
The meaning of life is that it stops.,Franz Kafka,"death, life",Existencialismo (influência) / Absurdo
You're on Earth. There's no cure for that.,Samuel Beckett,"life, planets, space-travel",Teatro do Absurdo
Do not wait for the last judgment. It comes every day.,Albert Camus,"judgement, life, religion",Existencialismo / Absurdismo
To perceive is to suffer.,Aristotle,"empathy, life, suffer, understanding",Peripatético / Aristotelismo
Art is the proper task of life. ,Friedrich Nietzsche,"art, inspirational, life",Niilismo / Existencialismo (precursor)
Life is a succession of lessons which must be lived to be understood.,Ralph Waldo Emerson,"life, life-experience",Transcendentalismo
Is life not a thousand times too short for us to bore ourselves?,Friedrich Nietzsche,"boredom, life",Niilismo / Existencialismo (precursor)
"Forget injuries, never forget kindnesses.",Confucius,"life, principles",Confucionismo
"L'éternité, c'est long ... surtout vers la fin.",Franz Kafka,"eternity, life, time",Existencialismo (influência) / Absurdo
"A man's work is nothing but this slow trek to rediscover, through the detours of art, those two or three great and simple images in whose presence his heart first opened.",Albert Camus,"art, inspiration, life",Existencialismo / Absurdismo
Give a bowl of rice to a man and you will feed him for a day. Teach him how to grow his own rice and you will save his life.,Confucius,"education, enduring-good, generosity, life, wise-advice, work",Confucionismo
"Sorrow looks back, Worry looks around, Faith looks up",Ralph Waldo Emerson,"faith, inspiration, life, sorrow, wisdom, worry",Transcendentalismo
One who makes himself a worm cannot complain afterwards if people step on him.,Immanuel Kant,"life, sucker",Idealismo Transcendental
He is terribly afraid of dying because he hasn’t yet lived.,Franz Kafka,"death, dying, fear, franz, kafka, life",Existencialismo (influência) / Absurdo
Life is a series of surprises and would not be worth taking or keeping if it were not.,Ralph Waldo Emerson,"inspirational, life",Transcendentalismo
"There is but one truly serious philosophical problem and that is suicide. Judging whether life is or is not worth living amounts to answering the fundamental question of philosophy. All the rest — whether or not the world has three dimensions, whether the mind has nine or twelve categories — comes afterwards. These are games; one must first answer.",Albert Camus,life,Existencialismo / Absurdismo
Freedom is the only worthy goal in life. It is won by disregarding things that lie beyond our control.,Epictetus,"control, freedom, goal, happiness, life, philosophy",Estoicismo
"All I am is literature, and I am not able or willing to be anything else.",Franz Kafka,"life, literature",Existencialismo (influência) / Absurdo
"Marry, and you will regret it; don’t marry, you will also regret it; marry or don’t marry, you will regret it either way. Laugh at the world’s foolishness, you will regret it; weep over it, you will regret that too; laugh at the world’s foolishness or weep over it, you will regret both. Believe a woman, you will regret it; believe her not, you will also regret it… Hang yourself, you will regret it; do not hang yourself, and you will regret that too; hang yourself or don’t hang yourself, you’ll regret it either way; whether you hang yourself or do not hang yourself, you will regret both. This, gentlemen, is the essence of all philosophy.",Søren Kierkegaard,"humor, life, regret",Existencialismo Cristão
"In dwelling, live close to the ground. In thinking, keep to the simple. In conflict, be fair and generous. In governing, don't try to control. In work, do what you enjoy. In family life, be completely present.",Lao Tzu,"advice-for-daily-living, conflict, life, living, thinking, work",Taoismo
"Life is like a play: it's not the length, but the excellence of the acting that matters.",Seneca,"inspirational, life",Estoicismo
Imitation is suicide.,Ralph Waldo Emerson,"be-yourself, creativity, life",Transcendentalismo
"No, I regret nothing, all I regret is having been born, dying is such a long tiresome business I always found.",Samuel Beckett,"death, life, regret",Teatro do Absurdo
"A 'no' does not hide anything, but a 'yes' very easily becomes a deception.",Søren Kierkegaard,"kierkegaard, life, promises",Existencialismo Cristão
"What can we see, read, acquire, but ourselves. Take the book, my friend, and read your eyes out, you will never find there what I find.",Ralph Waldo Emerson,life,Transcendentalismo
"Life has no meaning, the moment you lose the illusion of being eternal.",Jean-Paul Sartre,"eternal, life",Existencialismo
"Life is a train of moods like a string of beads; and as we pass through them they prove to be many colored lenses, which paint the world their own hue, and each shows us only what lies in its own focus.",Ralph Waldo Emerson,life,Transcendentalismo
"The overman...Who has organized the chaos of his passions, given style to his character, and become creative. Aware of life's terrors, he affirms life without resentment. ",Friedrich Nietzsche,"control, discipline, life",Niilismo / Existencialismo (precursor)
"...happiness does not consist in amusement. In fact, it would be strange if our end were amusement, and if we were to labor and suffer hardships all our life long merely to amuse ourselves.... The happy life is regarded as a life in conformity with virtue. It is a life which involves effort and is not spent in amusement....",Aristotle,"amusement, happy, life, virtue",Peripatético / Aristotelismo
"Men acquire a particular quality by constantly acting a particular way... you become just by performing just actions, temperate by performing temperate actions, brave by performing brave actions.",Aristotle,"action, life, quality, virtue",Peripatético / Aristotelismo
"Not life, but good life, is to be chiefly valued. ",Socrates,"life, value",Filosofia Socrática
"In the end,The treasure of life is missed by those who hold on and gained by those who let go.",Lao Tzu,life,Taoismo
"He who has attained the freedom of reason to any extent cannot, for a long time, regard himself otherwise than as a wanderer on the face of the earth - and not even as a traveler towards a final goal, for there is no such thing. But he certainly wants to observe and keep his eyes open to whatever actually happens in the world; therefore he cannot attach his heart too firmly to anything individual; he must have in himself something wandering that takes pleasure in change and transitoriness.",Friedrich Nietzsche,life,Niilismo / Existencialismo (precursor)
What lies behind us and what lies before us are tiny matters compared to what lies within us.,Ralph Waldo Emerson,inspirational,Transcendentalismo
Always do what you are afraid to do.,Ralph Waldo Emerson,inspirational,Transcendentalismo
"Whatever you do, you need courage. Whatever course you decide upon, there is always someone to tell you that you are wrong. There are always difficulties arising that tempt you to believe your critics are right. To map out a course of action and follow it to an end requires some of the same courage that a soldier needs. Peace has its victories, but it takes brave men and women to win them.",Ralph Waldo Emerson,"courage, inspirational",Transcendentalismo
Write it on your heart that every day is the best day in the year.,Ralph Waldo Emerson,"advice-for-daily-living, inspirational, live-in-the-moment, optimism, wonder",Transcendentalismo
"If you make a mistake and do not correct it, this is called a mistake.",Confucius,"inspirational, mistake",Confucionismo
"When I let go of what I am, I become what I might be.",Lao Tzu,inspirational,Taoismo
"Excellence is never an accident. It is always the result of high intention, sincere effort, and intelligent execution; it represents the wise choice of many alternatives - choice, not chance, determines your destiny.",Aristotle,"choice, inspirational",Peripatético / Aristotelismo
Make the most of yourself....for that is all there is of you.,Ralph Waldo Emerson,"be-yourself, inspirational, self-improvement",Transcendentalismo
Nothing great was ever achieved without enthusiasm.,Ralph Waldo Emerson,inspirational,Transcendentalismo
Shallow men believe in luck or in circumstance. Strong men believe in cause and effect.,Ralph Waldo Emerson,"causality, causation, cause-and-effect, chance, darwinism, inspirational, kalam-cosmological-argument, luck, naturalism, necessity, serendipity",Transcendentalismo
Luck is what happens when preparation meets opportunity.,Seneca,inspirational,Estoicismo
"A hero is no braver than an ordinary man, but he is brave five minutes longer.",Ralph Waldo Emerson,"brave, inspirational",Transcendentalismo
"When you see a good person, think of becoming like her/him. When you see someone not so good, reflect on your own weak points.",Confucius,"helpful, inspirational, introspection, karma, self-improvement",Confucionismo
You become what you think about all day long.,Ralph Waldo Emerson,"inspirational, obsession",Transcendentalismo
Know thyself.,Socrates,inspirational,Filosofia Socrática
Try again. Fail again. Fail better.,Samuel Beckett,"existentialism, failure, inspirational",Teatro do Absurdo
"Difficulties strengthen the mind, as labor does the body.",Seneca,"adversity, challenges, character, inspirational",Estoicismo
"It is not the failure of others to appreciate your abilities that should trouble you, but rather your failure to appreciate theirs.",Confucius,inspirational,Confucionismo
One must still have chaos in oneself to be able to give birth to a dancing star.,Friedrich Nietzsche,"creative-process, creativity, inspirational, mental-illness, outsider, self-discovery",Niilismo / Existencialismo (precursor)
"As is a tale, so is life: not how long it is, but how good it is, is what matters.",Seneca,inspirational,Estoicismo
The greatest discovery of any generation is that a human can alter his life by altering his attitude.,William James,inspirational,Pragmatismo
Employ your time in improving yourself by other men's writings so that you shall come easily by what others have labored hard for.,Socrates,"inspirational, reading, wisdom",Filosofia Socrática
"To write well, express yourself like the common people, but think like a wise man.",Aristotle,"inspirational, philosophy, writing",Peripatético / Aristotelismo
Education is teaching our children to desire the right things.,Plato,inspirational,Platonismo
Life begins on the other side of despair.,Jean-Paul Sartre,inspirational,Existencialismo
It is during our darkest moments that we must focus to see the light.,Aristotle,inspirational,Peripatético / Aristotelismo
"Death, therefore, the most awful of evils, is nothing to us, seeing that, when we are, death is not come, and, when death is come, we are not.",Epicurus,"awful, death, inspirational, peace, philosophy, serenity, wisdom",Epicurismo
Your own positive future begins in this moment. All you have is right now. Every goal is possible from here.,Lao Tzu,inspirational,Taoismo
"That which we persist in doing becomes easier to do, not that the nature of the thing has changed but that our power to do has increased.",Ralph Waldo Emerson,inspirational,Transcendentalismo
"There is only one day left, always starting over: It is given to us at dawn and taken away from us at dusk.",Jean-Paul Sartre,"carpe-diem, inspirational",Existencialismo
It is one of the beautiful compensations of life that no man can sincerely try to help another without helping himself.,Ralph Waldo Emerson,inspirational,Transcendentalismo
"The Man who says he can, and the man who says he can not.. Are both correct",Confucius,inspirational,Confucionismo
There isa time to liveand a time to diebut never to reject the moment.,Lao Tzu,"inspirational, tao-te-ching",Taoismo
Fear defeats more people than any other one thing in the world.,Ralph Waldo Emerson,"fear, inspirational, self-confidence",Transcendentalismo
"The greatest blessing granted to mankind come by way of madness, which is a divine gift.",Socrates,"inspirational, science, truth",Filosofia Socrática
No man is free who is not master of himself.,Epictetus,inspirational,Estoicismo
Life consists of what man is thinking about all day.,Ralph Waldo Emerson,inspirational,Transcendentalismo
None of us will ever accomplish anything excellent or commanding except when he listens to this whisper which is heard by him alone.,Ralph Waldo Emerson,"inspirational, self-determination, self-expression",Transcendentalismo
The reward of a thing well done is having done it.,Ralph Waldo Emerson,inspirational,Transcendentalismo
"Do your work, then step back. The only path to serenity.",Lao Tzu,"action, inspirational, serenity",Taoismo
There is no illusion greater than fear.,Lao Tzu,"inspirational, overcoming-fear",Taoismo
It is in the knowledge of the genuine conditions of our lives that we must draw our strength to live and our reasons for living.,Simone de Beauvoir,inspirational,Existencialismo / Feminismo
The journey of a thousand miles begins with a single step. Watch your step.,Lao Tzu,inspirational,Taoismo
"He who defends with love will be secure; Heaven will save him, and protect him with love.",Lao Tzu,"chivalry, god, inspirational, religion",Taoismo
Great acts are made up of small deeds.,Lao Tzu,inspirational,Taoismo
"Dancing in all its forms cannot be excluded from the curriculum of all noble education; dancing with the feet, with ideas, with words, and, need I add that one must also be able to dance with the pen?",Friedrich Nietzsche,"dancing, inspirational",Niilismo / Existencialismo (precursor)
Wise men put their trust in ideas and not in circumstances.,Ralph Waldo Emerson,inspirational,Transcendentalismo
"That which we persist in doing becomes easier to do, not that the nature of the thing has changed, but our power to do so is increased.",Ralph Waldo Emerson,inspirational,Transcendentalismo
If the stars should appear but one night every thousand years how man would marvel and adore.,Ralph Waldo Emerson,"inspirational, perspective",Transcendentalismo
Learn as if you were not reaching your goal and as though you were scared of missing it,Confucius,"confucious, inspirational, learning, life",Confucionismo
"When you were born you were crying and everyone else was smiling. Live your life so at the end, your're the one who is smiling and everyone else is crying.",Ralph Waldo Emerson,inspirational,Transcendentalismo
Arrogance on the part of the meritorious is even more offensive to us than the arrogance of those without merit: for merit itself is offensive.,Friedrich Nietzsche,"arrogance, inspirational, philosphy",Niilismo / Existencialismo (precursor)
"It is hard enough to remember my opinions, without also remembering my reasons for them!",Friedrich Nietzsche,"humor, philosophy",Niilismo / Existencialismo (precursor)
"The children now love luxury. They have bad manners, contempt for authority; they show disrespect for elders and love chatter in place of exercise.",Socrates,"humor, teachers, teens",Filosofia Socrática
"I made this [letter] very long, because I did not have the leisure to make it shorter.",Blaise Pascal,"humor, letter",Jansenismo / Existencialismo Cristão (precursor)
"Common sense is the most widely shared commodity in the world, for every man is convinced that he is well supplied with it.",René Descartes,"common-sense, humor, irony",Racionalismo
"Why do people always expect authors to answer questions? I am an author because I want to ask questions. If I had answers, I'd be a politician.",Eugène Ionesco,"humor, writer",Teatro do Absurdo
Wit is educated insolence.,Aristotle,"definitions, humor",Peripatético / Aristotelismo
"There is one other reason for dressing well, namely that dogs respect it, and will not attack you in good clothes.",Ralph Waldo Emerson,"dogs, fashion, humor, respect",Transcendentalismo
The secret to humor is surprise.,Aristotle,"humor, surprise",Peripatético / Aristotelismo
A joke is an epigram on the death of a feeling.,Friedrich Nietzsche,"humor, humour, jokes",Niilismo / Existencialismo (precursor)
"I am too tired, I must try to rest and sleep, otherwise I am lost in every respect. What an effort to keep alive! Erecting a monument does not require an expenditure of so much strength.",Franz Kafka,humor,Existencialismo (influência) / Absurdo
Man is the only creature who refuses to be what he is.,Albert Camus,"human-nature, man, mankind, philosophy",Existencialismo / Absurdismo
"When we are tired, we are attacked by ideas we conquered long ago.",Friedrich Nietzsche,"past, philosophy",Niilismo / Existencialismo (precursor)
I cannot teach anybody anything. I can only make them think,Socrates,"knowledge, philosophy",Filosofia Socrática
The price good men pay for indifference to public affairs is to be ruled by evil men.,Plato,philosophy,Platonismo
"An intellectual? Yes. And never deny it. An intellectual is someone whose mind watches itself. I like this, because I am happy to be both halves, the watcher and the watched. ""Can they be brought together?"" This is a practical question. We must get down to it. ""I despise intelligence"" really means: ""I cannot bear my doubts.",Albert Camus,"intellectuals, intelligence, philosophy, scholars",Existencialismo / Absurdismo
"Life is really simple, but we insist on making it complicated.",Confucius,"complexity, philosophy, simplicity",Confucionismo
"Do not train a child to learn by force or harshness; but direct them to it by what amuses their minds, so that you may be better able to discover with accuracy the peculiar bent of the genius of each.",Plato,"discipline, education, mentoring, philosophy",Platonismo
I would believe only in a God that knows how to dance.,Friedrich Nietzsche,philosophy,Niilismo / Existencialismo (precursor)
"Be kind, for everyone you meet is fighting a hard battle.",Socrates,philosophy,Filosofia Socrática
"The true man wants two things: danger and play. For that reason he wants woman, as the most dangerous plaything.",Friedrich Nietzsche,"philosophy, women",Niilismo / Existencialismo (precursor)
"Those who educate children well are more to be honored than they who produce them; for these only gave them life, those the art of living well.",Aristotle,"greek, mentors, philosophy, teachers",Peripatético / Aristotelismo
"If anyone tells you that a certain person speaks ill of you, do not make excuses about what is said of you but answer, ""He was ignorant of my other faults, else he would not have mentioned these alone.",Epictetus,"history, humility, philosophy",Estoicismo
One of the penalties of refusing to participate in politics is that you end up being governed by your inferiors.,Plato,"philosophy, politics",Platonismo
Some people talk in their sleep. Lecturers talk while other people sleep,Albert Camus,"albert-camus, lecture, philosophy, sleep",Existencialismo / Absurdismo
"The aim of art is to represent not the outward appearance of things, but their inward significance.",Aristotle,"art, philosophy",Peripatético / Aristotelismo
Don't explain your philosophy. Embody it.,Epictetus,"philosophers, philosophy",Estoicismo
"Au milieu de l'hiver, j'ai découvert en moi un invincible été.",Albert Camus,"existentialism, hope, philosophy",Existencialismo / Absurdismo
"The evil that is in the world almost always comes from ignorance, and good intentions may do as much harm as malevolence if they lack understanding.",Albert Camus,philosophy,Existencialismo / Absurdismo
The most perfidious way of harming a cause consists of defending it deliberately with faulty arguments.,Friedrich Nietzsche,"perception, philosophy, scientific-process, truth",Niilismo / Existencialismo (precursor)
"Non est ad astra mollis e terris via"" - ""There is no easy way from the earth to the stars",Seneca,"latin, philosophy, stars",Estoicismo
I have gained this by philosophy … I do without being ordered what some are constrained to do by their fear of the law.,Aristotle,"law, morality, philosophy, secular-ethics, secular-morality",Peripatético / Aristotelismo
A great many people think they are thinking when they are merely rearranging their prejudices.,William James,"attributed, honesty, integrity, philosophy, wisdom",Pragmatismo
Even the finest sword plunged into salt water will eventually rust.,Sun Tzu,"philosophy, thought-provoking, war",Filosofia Militar Chinesa
"In politics we presume that everyone who knows how to get votes knows how to administer a city or a state. When we are ill... we do not ask for the handsomest physician, or the most eloquent one.",Plato,"philosophy, politics",Platonismo
"The highest activity a human being can attain is learning for understanding, because to understand is to be free.",Baruch Spinoza,"education, free-thought, philosophy",Racionalismo
"He was free, free in every way, free to behave like a fool or a machine, free to accept, free to refuse, free to equivocate; to marry, to give up the game, to drag this death weight about with him for years to come. He could do what he liked, no one had the right to advise him, there would be for him no Good or Evil unless he thought them into being.",Jean-Paul Sartre,"existentialism, philosophy",Existencialismo
"I assess the power of a will by how much resistance, pain, torture it endures and knows how to turn to its advantage",Friedrich Nietzsche,"ant-christ, atheism, philosophy, religion",Niilismo / Existencialismo (precursor)
Doing nothing is better than being busy doing nothing.,Lao Tzu,"philosophy, taoism",Taoismo
"I suppose therefore that all things I see are illusions; I believe that nothing has ever existed of everything my lying memory tells me. I think I have no senses. I believe that body, shape, extension, motion, location are functions. What is there then that can be taken as true? Perhaps only this one thing, that nothing at all is certain.",René Descartes,"ethics, logic, metaphysics, ontology, philosophy, psychology, science",Racionalismo
I count him braver who overcomes his desires than him who overcomes his enemies.,Aristotle,"ethics, philosophy, self-discovery",Peripatético / Aristotelismo
I do not know how to teach philosophy without becoming a disturber of the peace.,Baruch Spinoza,philosophy,Racionalismo
"He who is not satisfied with a little, is satisfied with nothing .",Epicurus,"philosophy, satisfaction, science",Epicurismo
No man was ever wise by chance,Seneca,philosophy,Estoicismo
"I am one thing, my writings are another.",Friedrich Nietzsche,philosophy,Niilismo / Existencialismo (precursor)
"Except our own thoughts, there is nothing absolutely in our power.",René Descartes,"philosophy, self-determination, self-discipline",Racionalismo
All great things must first wear terrifying and monstrous masks in order to inscribe themselves on the hearts of humanity.,Friedrich Nietzsche,"history, humanity, philosophy",Niilismo / Existencialismo (precursor)
"If a man has character, he has also his typical experience, which always recurs.",Friedrich Nietzsche,"nietzsche, philosophy",Niilismo / Existencialismo (precursor)
"I have made a ceaseless effort not to ridicule, not to bewail, not to scorn human actions, but to understand them.",Baruch Spinoza,"philosophy, science",Racionalismo
"The more you struggle to live, the less you live. Give up the notion that you must be sure of what you are doing. Instead, surrender to what is real within you, for that alone is sure....you are above everything distressing.",Baruch Spinoza,philosophy,Racionalismo
Plato was a bore.,Friedrich Nietzsche,philosophy,Niilismo / Existencialismo (precursor)
I only know that I know nothing,Socrates,"creative-thinking, intellect, knowledge, philosophy, wisdom",Filosofia Socrática
To ridicule philosophy is really to philosophize.,Blaise Pascal,philosophy,Jansenismo / Existencialismo Cristão (precursor)
In football everything is complicated by the presence of the opposite team.,Jean-Paul Sartre,"football, philosophy",Existencialismo
"False words are not only evil in themselves, but they infect the soul with evil.",Plato,philosophy,Platonismo
"My advice to you is get married: if you find a good wife you'll be happy; if not, you'll become a philosopher.",Socrates,"happiness, humour, marriage, philosophy",Filosofia Socrática
Philosophy is the highest music.,Plato,"music, philosophy",Platonismo
"Never say that I have taken it, only that I have given it back.",Epicurus,"philosophy, stoic",Epicurismo
"What then is truth? A movable host of metaphors, metonymies, and anthropomorphisms: in short, a sum of human relations which have been poetically and rhetorically intensified, transferred, and embellished, and which, after long usage, seem to a people to be fixed, canonical, and binding. Truths are illusions which we have forgotten are illusions — they are metaphors that have become worn out and have been drained of sensuous force.",Friedrich Nietzsche,"friedrich-nietzche, philosophy",Niilismo / Existencialismo (precursor)
The best ideas are common property,Seneca,philosophy,Estoicismo
All are one,Heraclitus,philosophy,Pré-socrático
Act only according to that maxim whereby you can at the same time will that it should become a universal law.,Immanuel Kant,philosophy,Idealismo Transcendental
"As soon as you have made a thought, laugh at it.",Lao Tzu,"comedy, eastern-philosophy, philosophy",Taoismo
"Pactum serva"" - ""Keep the faith",Horace,"faith, latin, philosophy",Epicurismo (influência)
"Out of love for mankind, and out of despair at my embarrassing situation, seeing that I had accomplished nothing and was unable to make anything easier than it had already been made, and moved by a genuine interest in those who make everything easy, I conceived it as my task to create difficulties everywhere.",Søren Kierkegaard,"humor, life, philosophy",Existencialismo Cristão
"Know you not that a good man does nothing for appearance sake, but for the sake of having done right?",Epictetus,"epictetus, good-deeds, goodness, philosophy, virtue, wisdom",Estoicismo
"You say, it's dark. And in truth, I did place a cloud before your sun. But do you not see how the edges of the cloud are already glowing and turning light.",Friedrich Nietzsche,philosophy,Niilismo / Existencialismo (precursor)
The life of the enemy . Whoever lives for the sake of combating an enemy has an interest in the enemy's staying alive.,Friedrich Nietzsche,"enemies, life, philosophy",Niilismo / Existencialismo (precursor)
"I always thought old age would be a writer’s best chance. Whenever I read the late work of Goethe or W. B. Yeats I had the impertinence to identify with it. Now, my memory’s gone, all the old fluency’s disappeared. I don’t write a single sentence without saying to myself, ‘It’s a lie!’ So I know I was right. It’s the best chance I’ve ever had.",Samuel Beckett,"hope, philosophy, writer",Teatro do Absurdo
"Let whoever can do so deceive me, he will never bring it about that I am nothing, so long as I continue to think I am something.",René Descartes,philosophy,Racionalismo
"I knew a man who gave twenty years of his life to a scatterbrained woman, sacrificing everything to her, his friendships, his work, the very respectability of his life and who one evening recognized that he had never loved her. He had been bored, thats all, bored like most people. Hence he had made himself out of whole cloth a life full of complications and drama. Something must happen and that explains most human commitments. Something must happen even loveless slavery, even war or death.",Albert Camus,"albert-camus, existentialism, philosophy, the-fall",Existencialismo / Absurdismo
"If there were a party of those who aren't sure they're right, I'd belong to it. ",Albert Camus,"camus, ethics, philosophy, tony-judt",Existencialismo / Absurdismo
I have forgotten my umbrella. ,Friedrich Nietzsche,"aphorism, derrida, interpretation, philosophy",Niilismo / Existencialismo (precursor)
"I consist of body and soul - in the worlds of a child. And why shouldn't we speak like children? But the enlightened, the knowledgealbe would say: I am body through and through, nothing more; and the soul is just a word for something on the body.",Friedrich Nietzsche,philosophy,Niilismo / Existencialismo (precursor)
"Because we have for millenia made moral, aesthetic, religious demands on the world, looked upon it with blind desire, passion or fear, and abandoned ourselves to the bad habits of illogical thinking, this world has gradually become so marvelously variegated, frightful, meaningful, soulful, it has acquired color - but we have been the colorists: it is the human intellect that has made appearances appear and transported its erroneous basic conceptions into things.",Friedrich Nietzsche,"humanity, insightful, philosophy",Niilismo / Existencialismo (precursor)
"Are you not ashamed of caring so much for the making of money and for fame and prestige, when you neither think nor care about wisdom and truth and the improvement of your soul?",Socrates,"greed, philosophy, socrates, truth, wisdom",Filosofia Socrática
"Give the pupils something to do, not something to learn; and the doing is of such a nature as to demand thinking; learning naturally results.",John Dewey,"education, educational-system, philosophy, teaching",Pragmatismo
From a certain point onward there is no longer any turning back.,Franz Kafka,"pessimism, philosophy",Existencialismo (influência) / Absurdo
"It is our attitude toward events, not events themselves, which we can control. Nothing is by its own nature calamitous -- even death is terrible only if we fear it.",Epictetus,"attitude, control, philosophy",Estoicismo
"Thinking only begins at the point where we have come to know that Reason, glorified for centuries, is the most obstinate adversary of thinking.",Martin Heidegger,"philosophy, reason, science",Fenomenologia / Existencialismo
"The stone that was rolled before Christ's tomb might appropriately be called the philosopher's stone because its removal gave not only the pharisees but, now for 1800 years, the philosophers so much to think about.",Søren Kierkegaard,"god, philosophy",Existencialismo Cristão
Absurdity is one of the most human things about us: a manifestation of our most advanced and interesting characteristics. ,Thomas Nagel,"absurd, nagel, philosophy",Filosofia Analítica
